epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,2640.17,1.0432,0.82258,1.12673,0.88712,0.81394,0.88512,0.58185,1.29973,0.88071,1.27666,0.0084754,0.0084754,0.0084754
156,2655.95,1.0612,0.83706,1.13661,0.88793,0.85103,0.90264,0.60787,1.27566,0.88977,1.27708,0.0084655,0.0084655,0.0084655
157,2674.78,1.05693,0.85444,1.13752,0.84758,0.85672,0.89636,0.61575,1.25506,0.83076,1.26268,0.0084556,0.0084556,0.0084556
158,2691.57,1.0781,0.86953,1.1451,0.89825,0.85121,0.90744,0.63236,1.23398,0.84866,1.22555,0.0084457,0.0084457,0.0084457
159,2709.7,1.05734,0.86122,1.13363,0.87924,0.79673,0.84595,0.57061,1.35768,0.96064,1.34485,0.0084358,0.0084358,0.0084358
160,2725.34,1.05029,0.83634,1.13219,0.87173,0.83066,0.87672,0.60247,1.23536,0.87128,1.2883,0.0084259,0.0084259,0.0084259
161,2742.95,1.06334,0.85751,1.14313,0.84599,0.7951,0.86627,0.59473,1.25862,0.93228,1.26825,0.008416,0.008416,0.008416
162,2761.07,1.0644,0.84714,1.13767,0.83873,0.76159,0.8312,0.56321,1.31851,1.02301,1.31338,0.0084061,0.0084061,0.0084061
163,2778.14,1.063,0.85174,1.12916,0.90504,0.83751,0.88815,0.62152,1.21976,0.85497,1.25918,0.0083962,0.0083962,0.0083962
164,2796.09,1.06236,0.8446,1.13394,0.80926,0.75569,0.8199,0.53407,1.35967,1.0415,1.33701,0.0083863,0.0083863,0.0083863
165,2814.67,1.05789,0.84449,1.14141,0.88868,0.82454,0.88343,0.60585,1.2523,0.85157,1.2626,0.0083764,0.0083764,0.0083764
166,2831.67,1.06363,0.83817,1.12905,0.89285,0.866,0.90848,0.63572,1.22202,0.81123,1.23238,0.0083665,0.0083665,0.0083665
167,2849.82,1.04001,0.8143,1.12343,0.88791,0.84891,0.90644,0.64017,1.20898,0.82582,1.22593,0.0083566,0.0083566,0.0083566
168,2867.95,1.04289,0.83121,1.13321,0.87438,0.85927,0.89055,0.61621,1.21704,0.86936,1.23453,0.0083467,0.0083467,0.0083467
169,2884.68,1.03678,0.82651,1.12259,0.8831,0.84223,0.89618,0.60721,1.26625,0.8775,1.26502,0.0083368,0.0083368,0.0083368
170,2903.77,1.04383,0.84291,1.12849,0.88237,0.82928,0.88444,0.6145,1.22099,0.85597,1.2407,0.0083269,0.0083269,0.0083269
171,2921.69,1.03801,0.82678,1.12103,0.89602,0.85823,0.90525,0.63261,1.2134,0.80018,1.23016,0.008317,0.008317,0.008317
172,2941.03,1.03359,0.82222,1.11948,0.90312,0.82995,0.89861,0.61558,1.25007,0.85356,1.2456,0.0083071,0.0083071,0.0083071
173,2957.22,1.03888,0.83845,1.1325,0.88173,0.84835,0.89748,0.60805,1.21014,0.84543,1.2408,0.0082972,0.0082972,0.0082972
174,2977.78,1.03907,0.82444,1.12636,0.89136,0.8755,0.91417,0.63957,1.16878,0.7886,1.19385,0.0082873,0.0082873,0.0082873
175,2996.36,1.04297,0.83169,1.12242,0.87326,0.81947,0.87855,0.58401,1.31247,0.9149,1.29312,0.0082774,0.0082774,0.0082774
176,3012.31,1.03111,0.8287,1.12434,0.86806,0.83504,0.88761,0.60295,1.26078,0.88326,1.26228,0.0082675,0.0082675,0.0082675
177,3030.6,1.02933,0.81946,1.13305,0.90271,0.8197,0.88384,0.59325,1.30621,0.91485,1.29628,0.0082576,0.0082576,0.0082576
178,3048.45,1.03591,0.81499,1.11589,0.86637,0.81442,0.86297,0.57453,1.26606,0.89865,1.26585,0.0082477,0.0082477,0.0082477
179,3065.44,1.03041,0.80741,1.12037,0.92607,0.87064,0.928,0.65763,1.15021,0.74454,1.19407,0.0082378,0.0082378,0.0082378
180,3083.33,1.04407,0.81912,1.12404,0.8964,0.87834,0.91394,0.64359,1.16233,0.78957,1.2049,0.0082279,0.0082279,0.0082279
